Date,Type,Link
2025-07-05 02:27:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7341295138998009857
2025-07-05 02:25:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345435958533660672
2025-07-05 02:22:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346731081427021824
2025-07-05 02:22:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7346630645147721729
2025-07-01 16:59:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345512043614990336
2025-06-22 16:39:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7339974131423023106
2025-06-22 16:36:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7342363430210748417
2025-06-21 14:41:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13991789-7332116897762582528
2025-06-21 14:39:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340604139174809601
2025-06-20 23:10:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341464848276348928
2025-06-20 10:17:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338792815407063040
2025-06-20 03:59:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341007015487377410
2025-06-10 19:31:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338030349811130368
2025-06-09 11:33:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7337563678382186496
2025-06-09 00:06:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7337214880879419393
2025-05-29 21:05:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330959689595158528
2025-05-24 15:18:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7331690378091302913
2025-05-02 04:03:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318367490915389440
2025-04-23 14:48:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320703022383165443
2025-04-23 02:36:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318620245630291969
2025-04-23 02:35:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316354349285236736
2025-04-23 02:17:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7317094206999552000
2025-04-23 02:16:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7318838686949810177
2025-04-22 01:42:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7320066767303680001
2025-04-22 01:41:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320124069851373568
2025-04-22 01:40:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7319987227269201920
2025-04-18 13:00:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2066905-7318902560700981250
2025-04-10 21:35:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7315999525477793794
2025-04-09 12:49:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7314583494842580992
2025-04-09 12:46:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7315259693633830913
2025-04-09 10:48:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7314948753893826561
2025-04-09 10:36:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7315633348419174401
2025-04-09 10:35:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7314904791195795456
2025-04-04 14:03:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7313901717509615616
2025-03-31 13:02:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7312298572022996992
2025-03-30 23:20:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7311127044170379264
2025-03-28 00:24:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7311122268250599428
2025-03-22 13:49:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7308915825179045889
2025-03-19 15:16:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7307445831706574848
2025-03-19 15:15:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7307853044216418304
2025-03-07 20:53:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300654632458932225
2025-03-07 17:20:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7303761355226910720
2025-03-05 20:21:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7302674212341579777
2025-02-20 11:10:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7295851997461688320
2025-02-20 11:10:55,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7295851997461688320?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7295851997461688320%2C7296901177995112448%29
2025-02-19 22:49:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7297951075653816321
2025-02-19 19:14:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A40949-7295524414404648961
2025-02-19 00:59:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7297725091277094913
2025-02-14 13:18:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7293470863713091585
2025-02-11 22:41:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7293644715604811776
2025-02-11 20:33:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7293509061906423809
2025-02-11 20:32:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7294737918605041665
2025-01-26 18:19:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A40949-7285389337347645441
2025-01-18 21:46:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7285809201954603009
2025-01-09 17:55:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7280800801122398210
2025-01-03 14:46:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7280768813644623872
2025-01-02 14:26:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7270462746180161536
2024-12-21 01:24:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7275289582261190656
2024-11-25 17:23:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7266808905844809729
2024-11-22 22:05:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7265111843415707648
2024-11-18 16:03:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7264283597472206850
2024-11-08 19:00:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7260708192223911937
2024-11-06 12:36:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7259549743167557633
2024-10-27 09:08:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7255103663893790721
2024-10-27 09:08:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7255046616594759680
2024-10-22 13:01:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7250083927124549633
2024-10-15 13:23:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7251345603513708545
2024-10-11 17:23:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7250083672198950912
2024-10-09 17:02:25,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7249660565885739008
2024-10-08 18:59:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7245421400344133632
2024-10-08 18:53:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7249449184775303168
2024-10-03 21:40:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7247023885236277248
2024-10-01 20:36:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7245494054648438784
2024-09-26 11:44:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244052420186505216?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7244052420186505216%2C7244392198274732032%29
2024-09-26 11:44:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244052420186505216?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7244052420186505216%2C7244301583662878720%29
2024-09-26 11:44:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244052420186505216?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7244052420186505216%2C7244071024252588032%29
