Ad clicked Date,Ad Title/Id
2025/09/26 14:43:52 UTC,758640444
2025/04/22 00:00:55 UTC,644469544
2025/09/26 14:44:00 UTC,758640444
2025/04/22 00:00:56 UTC,644469544
2025/10/01 01:22:54 UTC,720306506
2025/04/22 00:01:53 UTC,644469544
2025/10/01 01:38:46 UTC,766415644
2026/01/28 10:35:58 UTC,971145483
2025/10/01 01:38:50 UTC,766415644
2025/02/25 10:44:57 UTC,170590486
2025/07/05 02:21:51 UTC,192833996
2025/07/21 04:07:37 UTC,200187204
2025/07/05 02:27:07 UTC,706181134
2025/10/23 10:03:45 UTC,876197003
2026/02/23 11:51:18 UTC,1063121956
2025/10/23 10:16:52 UTC,776982874
2025/01/09 00:15:07 UTC,322643716
2026/03/21 02:48:57 UTC,1230241394
2025/01/09 00:15:08 UTC,322643716
2026/01/13 11:52:07 UTC,990009946
2026/01/04 23:59:17 UTC,1012485826
2026/01/13 11:58:41 UTC,1008155016
2026/01/04 23:59:25 UTC,1012485826
2025/09/22 12:41:58 UTC,538797284
2026/01/04 23:59:30 UTC,1012485826
2026/01/14 03:35:27 UTC,1008155016
2026/01/04 23:59:42 UTC,1012485826
2025/09/22 13:51:37 UTC,815483913
2026/01/04 23:59:56 UTC,1012485826
2025/04/04 14:01:37 UTC,283754943
2025/08/08 15:54:54 UTC,420419384
2025/05/22 21:42:27 UTC,530045004
2025/08/09 04:24:32 UTC,420419384
2025/10/31 20:35:50 UTC,925348006
2026/01/01 05:48:21 UTC,1012485826
2024/10/27 09:08:12 UTC,177102854
2026/01/01 05:48:22 UTC,1012485826
2025/10/10 16:38:55 UTC,851310623
2025/07/01 18:13:06 UTC,524691946
2026/02/08 21:27:36 UTC,644148836
2024/11/18 17:23:29 UTC,551685486
2026/02/08 21:27:50 UTC,644148836
2025/07/01 18:12:42 UTC,538797284
2026/02/08 21:28:06 UTC,644148836
2025/08/20 19:10:10 UTC,689323726
2024/10/01 00:03:00 UTC,371566793
2025/11/06 15:54:07 UTC,813814643
2025/07/24 13:22:42 UTC,796720116
2025/03/07 12:54:37 UTC,484946214
2024/09/10 16:08:17 UTC,482470156
2024/11/18 17:23:13 UTC,551685486
2025/05/16 18:54:20 UTC,462566484
2025/11/06 11:13:45 UTC,627220086
2024/10/29 04:49:51 UTC,462955154
2025/03/28 23:56:33 UTC,200184854
2025/01/16 06:35:40 UTC,178988566
2025/03/28 23:56:34 UTC,200184854
2025/07/17 13:15:28 UTC,706181134
2024/12/07 02:57:18 UTC,178988366
2025/10/21 00:34:51 UTC,767998793
2026/03/15 20:02:17 UTC,1152787234
2025/10/21 00:34:51 UTC,767998793
2026/03/15 20:02:31 UTC,1152787234
2025/09/11 19:24:52 UTC,719733863
2025/03/29 00:39:50 UTC,462566484
2025/09/11 19:24:55 UTC,719733863
2026/01/15 19:35:41 UTC,1008155016
2026/03/19 11:40:26 UTC,1064183466
2025/11/15 15:23:33 UTC,766644074
2026/03/19 11:40:33 UTC,1064183466
2025/12/17 20:03:37 UTC,933864103
2025/10/21 01:11:12 UTC,767998793
2025/12/17 20:03:37 UTC,933864103
2025/10/21 01:11:13 UTC,767998793
2024/12/24 23:02:43 UTC,552566694
2025/12/19 18:25:37 UTC,1000598566
2026/02/13 00:21:58 UTC,644148836
2025/12/19 18:25:45 UTC,1000598566
2025/06/03 13:00:53 UTC,686789893
2025/07/02 20:39:36 UTC,706181314
2025/06/14 03:06:00 UTC,508913754
2026/08/24 02:07:32 UTC,1478880993
2025/06/14 03:06:01 UTC,508913754
2026/08/20 20:47:03 UTC,1514746994
2025/10/30 14:03:46 UTC,714702734
2026/08/07 19:28:33 UTC,1476704964
2025/06/24 04:51:43 UTC,524691946
2026/08/07 19:28:41 UTC,1476704964
2025/08/31 18:01:15 UTC,705083606
2026/08/20 00:28:11 UTC,1245422334
2025/07/07 11:01:00 UTC,722762553
2026/08/18 13:57:03 UTC,1125486034
2025/12/24 02:20:01 UTC,914228093
2026/08/18 13:57:48 UTC,1125486034
2026/03/14 01:23:03 UTC,1176305833
