Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2023-04-04 15:56:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7049046984111869954,"","","",MEMBER_NETWORK
2023-03-23 20:15:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7044763681900941312,"","","",MEMBER_NETWORK
2023-03-13 15:25:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7041066714138083328,"","","",MEMBER_NETWORK
2023-03-01 16:36:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7036735979235287040,"","","",MEMBER_NETWORK
2023-01-01 16:20:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7015351140221353984,"","","",MEMBER_NETWORK
2022-11-13 15:53:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6997587310804361216,"","","",MEMBER_NETWORK
2022-11-11 16:42:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996874866620530688,"","","",MEMBER_NETWORK
2022-09-18 18:01:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6977325693793660929,"","","",MEMBER_NETWORK
2022-09-08 00:16:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6973433793760088064,"","","",MEMBER_NETWORK
2022-06-06 04:50:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6939438425385185280,"","","",MEMBER_NETWORK
2022-05-26 15:05:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6935606777505849344,"","","",MEMBER_NETWORK
2022-05-20 16:20:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933451307554942976,"","","",MEMBER_NETWORK
2022-05-20 16:19:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6933451173806977024,"","","",MEMBER_NETWORK
2022-05-19 16:52:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6933097005577568256,"","","",MEMBER_NETWORK
